number,study,date,authors,title,journal,year,topic_raw,topic,topic_description,measures,measures_order,stimClass_raw,stimClass,visualMoving,stimType,design,subComp,location,sleeping,study_description,brainRegions_raw,measures_raw,numberSegment_raw,numberSegments,durationSegment_raw,durationSegment,completedSegment,completedDuration,length,age_raw,age,ageRange_raw,ageRange,newborn,female,femaleProp,characteristics,preterm,groupType,inclusionCriteria,manufacturer,version,detectors,channels,recruited,excludedBaby,excludedSig,excludedExp,excludedOther,finalSample_raw,finalSample,includeOverall,includeReasons,attrition,attritionBaby,attritionSig,attritionExp
14c,14,4/21/20,"Behrendt, H. F.; Firk, C.; Nelson, C. A., 3rd; Perdue, K. L.",Motion correction for infant functional near-infrared spectroscopy with an application to live interaction data,Neurophotonics,2018,I - Motion artifacts during fNIRS recording,I - Motion artifacts during fNIRS recording,Motion correction for fNIRS recording,A,A,A,V,static,I (videos of toys),A,"A,C,D",hospital,awake,Video group (2min video of infant toys),"A,D",D - motion artifacts,1,1,120,120,Not reported,2min,120,366.8 days,12.23,12,12,non-newborn,7,0.35,None,full-term,td,"full-term, typically developing, no prenatal or perinatal complications",Hitachi,ETG 4000 ,15,46,Not reported,NA,Not reported,Not reported,Not reported,20,20,0,0,NA,NA,NA,NA
14d,14,4/21/20,"Behrendt, H. F.; Firk, C.; Nelson, C. A., 3rd; Perdue, K. L.",Motion correction for infant functional near-infrared spectroscopy with an application to live interaction data,Neurophotonics,2018,I - Motion artifacts during fNIRS recording,I - Motion artifacts during fNIRS recording,Motion correction for fNIRS recording,A,A,B,V,moving,A,A,"A,C,D",hospital,awake,Live group (16s blocks of stressful vs. nonstressful faces expressed by mother vs. female stranger + 8s rest between blocks),A,D - motion artifacts,12,12,16,16,Not reported,~6min,192,230.2 days,7.67,6 to 8,6 to 8,non-newborn,6,0.6,German,full-term,td,"full-term, typically developing, no prenatal or perinatal complications",Hitachi,ETG 4000 ,7,22,12,1,0,1,0,10,10,1,1,0.166666667,0.083333333,NA,0.083333333
15,15,4/27/20,"Behrendt, H. F.; Konrad, K.; Perdue, K. L.; Firk, C.",Infant brain responses to live face-to-face interaction with their mothers: Combining functional near-infrared spectroscopy (fNIRS) with a modified still-face paradigm,Infant Behavior and Development,2020,F,F,Neural correlates of infant affect regulation during real-life social interactions,A,A,B,V,moving,A,A,"A,C",lab,awake,16s blocks of stressful vs. nonstressful faces expressed by mother vs. female stranger with 8s rest periods between blocks,A,A,12,12,16,16,Not reported,about 6 mins,192,230 days ,7.67,7 to 9 ,7 to 9,non-newborn,5,0.625,German,full-term,td,"full-term, typically developing, only child, no prenatal or perinatal complications, inherited syndrome, or somatic disease",Hitachi,ETG 4000 ,7,22,12,1,2,1,0,8,8,1,1,0.333333333,0.083333333,0.166666667,0.083333333
23a,23,4/29/20,"Benavides-Varela, Silvia; Gervain, Judit",Learning word order at birth: A NIRS study,Developmental Cognitive Neuroscience,2017,C,C,Newborns' sensitivity to word order,A,A,C,A,,D,A,A,hospital,awake,"Alternating block design (in each block, infants heard a 4-word sequence (2 function words, 2 content words in French) repeated 3 times (standard block), or changed on the third repetition (deviant block), standard blocks were always followed by deviant blocks), 20-30s jittered duration between blocks, sequences were produced in a list intonation","A,D",A,48,48,5.8,5.8,Not reported ,Not reported ,278.4,2 days,0.066666667,1 to 3 days ,Newborn,newborn,8,0.4,French,full-term,td,"healthy, full-term",NIRx,NIRScout 8-16,6,16,31,6,3,2,0,20,20,1,1,0.35483871,0.193548387,0.096774194,0.064516129
23a,23,4/29/20,"Benavides-Varela, Silvia; Gervain, Judit",Learning word order at birth: A NIRS study,Developmental Cognitive Neuroscience,2017,C,C,Newborns' sensitivity to word order,A,A,C,A,,D,A,A,hospital,awake,"Alternating block design (in each block, infants heard a 4-word sequence (2 function words, 2 content words in French) repeated 3 times (standard block), or changed on the third repetition (deviant block), standard blocks were always followed by deviant blocks), 20-30s jittered duration between blocks, sequences were produced with a well-formed utterance-level prosodic contour","A,D",A,48,48,5.8,5.8,Not reported ,Not reported ,278.4,2.1 days,0.07,1 to 3 days ,Newborn,newborn,10,0.5,French,full-term,td,"healthy, full-term",NIRx,NIRScout 8-16,6,16,21,0,1,0,0,20,20,1,1,0.047619048,NA,0.047619048,NA
24a,24,4/29/20,"Benavides-Varela, Silvia; Gäš_äŠ«mez, David M.; Macagno, Francesco; Bion, Ricardo A. H.; Peretz, Isabelle; Mehler, Jacques",Memory in the neonate brain,PLoS ONE,2011,"C,B",C,Cortical responses to familiar words in newborn infants,A,A,C,A,,D,A,"A,C",hospital,awake,"6min familiarization to nonce CVCV word (10 blocks of 6 word repetitions, 10s each, separated by 25s or 35s) + 2min silent retention interval + 5 test blocks (10s each, familiar or novel CVCV word)","A,B,D",A,"10 (familiarization), 5 (test)",15,10,10,Not reported ,Not reported ,150,3.1 days,0.103333333,1 to 5 days ,Newborn,newborn,27,0.482142857,Italian ,full-term,td,"healthy, full-term (38-42 weeks gestation), Apgar score 8 or above, head diameter 33.5cm or above",Hitachi,ETG 4000 ,NA,24,69,6,7,0,0,56,56,1,1,0.188405797,0.086956522,0.101449275,NA
24b,24,4/29/20,"Benavides-Varela, Silvia; Gäš_äŠ«mez, David M.; Macagno, Francesco; Bion, Ricardo A. H.; Peretz, Isabelle; Mehler, Jacques",Memory in the neonate brain,PLoS ONE,2011,"C,B",C,Cortical responses to familiar words in newborn infants,A,A,C,A,,D,A,"A,C",hospital,awake,"6min familiarization to nonce CVCV word (10 blocks of 6 word repetitions, 10s each, separated by 25s or 35s) + 2min retention interval with instrumental music for 30s + 5 test blocks (10s each, familiar or novel CVCV word)","A,B,D",A,"10 (familiarization), 5 (test)",15,10,10,Not reported ,Not reported ,150,2.8 days,0.093333333,1 to 5 days ,Newborn,newborn,15,0.535714286,Italian ,full-term,td,"healthy, full-term (38-42 weeks gestation), Apgar score 8 or above, head diameter 33.5cm or above",Hitachi,ETG 4000 ,NA,24,33,2,3,0,0,28,28,1,1,0.151515152,0.060606061,0.090909091,NA
24c,24,4/29/20,"Benavides-Varela, Silvia; Gäš_äŠ«mez, David M.; Macagno, Francesco; Bion, Ricardo A. H.; Peretz, Isabelle; Mehler, Jacques",Memory in the neonate brain,PLoS ONE,2011,"C,B",C,Cortical responses to familiar words in newborn infants,A,A,C,A,,D,A,"A,C",hospital,awake,"6min familiarization to nonce CVCV word (10 blocks of 6 word repetitions, 10s each, separated by 25s or 35s) + 2min retention interval with a new CVCV word presented for 30s + 5 test blocks (10s each, familiar or novel CVCV word)","A,B,D",A,"10 (familiarization), 5 (test)",15,10,10,Not reported ,Not reported ,150,2.9 days,0.096666667,1 to 5 days ,Newborn,newborn,16,0.571428571,Italian ,full-term,td,"healthy, full-term (38-42 weeks gestation), Apgar score 8 or above, head diameter 33.5cm or above",Hitachi,ETG 4000 ,NA,24,36,1,7,0,0,28,28,1,1,0.222222222,0.027777778,0.194444444,NA
25,25,4/29/20,"Benavides-Varela, Silvia; Hochmann, Jean-Räš_Œ©my; Macagno, Francesco; Nespor, Marina; Mehler, Jacques",Newbornäó_í‹íÇs brain activity signals the origin of word memories,PNAS Proceedings of the National Academy of Sciences of the United States of America,2012,"C,B",C,Cortical responses to consonantal and vocalic changes to familiar words in newborn infants,A,A,C,A,,D,A,"A,C",hospital,awake,"6min familiarization to CVCV word (10 blocks of 6 word repetitions, 10s each, separated by 25s or 35s) + 2min silent retention interval + 3min test (5 test blocks, 10s each, either consonantal or vocalic change to familiarized word)","A,B,D",A,"10 (familiarization), 5 (test)",15,10,10,Not reported ,11 mins (660 s),150,2.5 days ,0.083333333,1 to 4 days ,Newborn,newborn,27,0.613636364,Italian ,full-term,td,"GA between 38 and 42 wks, Apgar score 8 or above, head diameter of 33.5cm or more, no hearing loss or cephalohematoma",Hitachi,ETG 4000 ,NA,24,51,4,2,1,0,44,44,1,1,0.137254902,0.078431373,0.039215686,0.019607843
26,26,4/29/20,"Benavides-Varela, Silvia; Siugzdaite, Roma; Gäš_äŠ«mez, David Maximiliano; Macagno, Francesco; Cattarossi, Luigi; Mehler, Jacques",Brain regions and functional interactions supporting early word recognition in the face of input variability,PNAS Proceedings of the National Academy of Sciences of the United States of America,2017,"C,B",C,Cortical responses to familiar words learned in the presense of interfering stimuli in newborn infants,A,A,C,A,,D,A,"A,C",hospital,awake,"6min encoding phase (10 blocks of 8 sounds each - high frequency word repeated 6 times, low frequency word presented twice) + 2min silent retention period + 3min test phase (5 blocks of either same word or different word)","A,B,D","A,B","10 (familiarization), 5 (test)",15,Not reported ,NA,Not reported ,Not reported ,NA,2.7 days ,0.09,2 to 5 days ,Newborn,newborn,26,0.65,Italian ,full-term,td,"healthy, full-term (38-42 weeks gestation), Apgar score 8 or above, no cephalohematoma, no hearing impairments, head diameter in range 33.5-36cm",Hitachi,ETG 4000 ,NA,24,45,5,0,0,0,40,40,1,1,0.111111111,0.111111111,NA,NA
27a,27,6/29/20,"Bhat, A. N.; McDonald, N. M.; Eilbott, J. E.; Pelphrey, K. A.",Exploring cortical activation and connectivity in infants with and without familial risk for autism during naturalistic social interactions: A preliminary study,Infant Behavior and Development,2019,F,F,Cortical activation in infants with/without ASD in naturalistic social settings,A,A,G - Natural social interaction with mother,Other,,I - Natural interaction with mother,D,"A,C",lab,awake,"30s pre-social baseline period (individual play with toy) + 5min social period (natural, face-to-face interaction mother, played as they would at home but without toys) + 30s post-social baseline period (individual play with toy)","A,B,D","A,B",1,1,300,300,1,Not reported ,300,7.5,7.5,6 to 9,6 to 9,non-newborn,5,0.833333333,None,full-term,td,"full-term (37+ weeks gestation), no visual/hearing impairments, seizure disorders, or any other genetic disorder leading to ASD, no family history of ASD (low-risk group)",Hitachi,ETG 4000 ,8,24,Not reported ,NA,Not reported ,Not reported ,Not reported,6,6,0,0,NA,NA,NA,NA
27b,27,6/29/20,"Bhat, A. N.; McDonald, N. M.; Eilbott, J. E.; Pelphrey, K. A.",Exploring cortical activation and connectivity in infants with and without familial risk for autism during naturalistic social interactions: A preliminary study,Infant Behavior and Development,2019,F,F,Cortical activation in infants with/without ASD in naturalistic social settings,A,A,G - Natural social interaction with mother,Other,,I - Natural interaction with mother,D,"A,C",lab,awake,"30s pre-social baseline period (individual play with toy) + 5min social period (natural, face-to-face interaction mother, played as they would at home but without toys) + 30s post-social baseline period (individual play with toy)","A,B,D","A,B",1,1,300,300,1,Not reported ,300,7,7,6 to 9,6 to 9,non-newborn,2,0.222222222,familial risk for ASD (older sibling held ASD diagnosis)/no familial risk for ASD,full-term,td_risk,"full-term (37+ weeks gestation), no visual/hearing impairments, seizure disorders, or any other genetic disorder leading to ASD, older sibling with clinical diagnosis of ASD (high-risk group)",Hitachi,ETG 4000 ,8,24,Not reported ,NA,Not reported ,Not reported ,Not reported,9,9,0,0,NA,NA,NA,NA
28,28,4/29/20,"Biallas, M.; Trajkovic, I.; Hagmann, C.; Scholkmann, F.; Jenny, C.; Holper, L.; Beck, A.; Wolf, M.",Multimodal recording of brain activity in term newborns during photic stimulation by near-infrared spectroscopy and electroencephalography,Journal of Biomedical Optics,2012,I - Sensitivity to fNIRS and EEG recordings ,I - Sensitivity to fNIRS and EEG recordings ,Sensitivity of fNIRS and EEG in detecting newborn infants' cortical responses to photic stimulation,"A,D",A,H,Other,,F - Lights ,A,A,hospital,sleeping,"20min recording while infants slept in their parents' arms (alternating rest periods (13-32s each) and photic stimulation periods (20s each)), 10min recording if sensor relocation required (due to no hemodynamic response detected during first 10min)",C,A,1,1,1200,1200,Not reported ,16.42,1200,2.1 days ,0.07,1 to 5 days,Newborn,newborn,5,0.357142857,Swiss,full-term,td,"healthy, full-term",Custom-built,2005,4,11,Not reported ,NA,Not reported ,Not reported ,Not reported,14,14,0,0,NA,NA,NA,NA
29,29,4/29/20,"Biallas, M.; Trajkovic, I.; Scholkmann, F.; Hagmann, C.; Wolf, M.",How to conduct studies with neonates combining near-infrared imaging and electroencephalography,Advances in Experimental Medicine and Biology,2012,I - Sensitivity of fNIRS and EEG recordings,I - Sensitivity of fNIRS and EEG recordings,Sensitivity of fNIRS and EEG in detecting newborn infants' cortical responses to photic stimulation,"A,D",A,H,Other,,F - Lights ,A,A,lab,sleeping,20min recording while infants slept in their parents' arms (alternating rest periods (13-32s each) and photic stimulation periods (20s each)),Not reported ,A,1,1,1200,1200,Not reported ,Not reported ,1200,2.7 days ,0.09,Not reported ,Newborn,newborn,Not reported ,NA,Swiss,full-term,td,"healthy, full-term",Custom-built,2005,4,NA,Not reported ,NA,Not reported ,Not reported ,Not reported,15,15,0,0,NA,NA,NA,NA
